Product Name,SKU,Barcode,Cost Price,Selling Price,Brand,Part No,Source Row
AXEL REAR,24171118-BAJAJ-AXEL-REAR,24171118-BAJAJ-AXEL-REAR,93.14,133.00,BAJAJ,24171118,49
BEARING RACE KIT LOWER-COMP & Z,36BH0053,36BH0053,55.60,79.00,BAJAJ,36BH0053,50
IDLER GEAR NEW MODEL,AF101208,AF101208,91.12,130.00,BAJAJ,AF101208,51
DIFFERENTIAL GASKET BS6,AN101312,AN101312,7.16,10.60,BAJAJ,AN101312,52
LEVER-ASSY,DH101180,DH101180,3.78,5.80,BAJAJ,DH101180,53
GUIDE CHAIN SLACK SIDE (2021),RA511001,RA511001,11.10,16.00,BAJAJ,RA511001,54
GUIDE CHAIN TIGHT SIDE (2021),RA511002,RA511002,6.05,9.00,BAJAJ,RA511002,55
BEARINH NEEDLE (SL 3520),59200012-BAJAJ-BEARINH-NEEDLE-SL-3520,59200012-BAJAJ-BEARINH-NEEDLE-SL-3520,8.78,12.56,BAJAJ,59200012,56
REAR & COVER,AA111079,AA111079,42.99,61.51,BAJAJ,AA111079,57
CRANKCASE CLUTCH SIDE,AN101127,AN101127,429.38,614.44,BAJAJ,AN101127,58
KIT CONNECTING ROD,36AA4132-MB-KIT-CONNECTING-ROD,36AA4132-MB-KIT-CONNECTING-ROD,53.87,77.00,MB,36AA4132,59
PLUG SPARK WITH SOLID POST-FMG (RG6HCC),AA111153,AA111153,8.59,12.30,CHAMPION,AA111153,60
BEARING NEEDDLE SL-3520,59200012-PABLA-BEARING-NEEDDLE-SL-3520,59200012-PABLA-BEARING-NEEDDLE-SL-3520,5.05,7.20,PABLA,59200012,61
BEARING BALL 28,39193120,39193120,22.73,32.50,PABLA,39193120,62
KIT SHOE BRAKE,24151171,24151171,13.13,19.00,AERO,24151171,63
BELLOW PROPELLER,24171076,24171076,3.20,4.50,HARI,24171076,64
INSULATOR,AA101594,AA101594,1.35,1.90,GKI,AA101594,65
GASKET KIT BS4 GKI,GKI-GKI-GASKET-KIT-BS4-GKI,GKI-GKI-GASKET-KIT-BS4-GKI,7.58,10.90,GKI,GKI,66
GASKET KIT BS6,GKI-GKI-GASKET-KIT-BS6,GKI-GKI-GASKET-KIT-BS6,8.08,11.50,GKI,GKI,67
ASSEMBLY TRAILING ARM LH FL,24171179,24171179,126.27,180.00,SE,24171179,68
ASSLY TRAILING ARM RH FL,24171180,24171180,126.27,180.00,SE,24171180,69
GUIDE CHAIN SLACK/TIGHT SIDE (SET),RA511001/RA511002,RA511001/RA511002,10.40,14.88,LOCAL,RA511001/RA511002,70
CYL ASSY WHEEL COMP R,24151164,24151164,24.58,35.00,NJ,24151164,71
PISTON & RINGS +1 (COMPACT),HF-HF-PISTON-RINGS-1-COMPACT,HF-HF-PISTON-RINGS-1-COMPACT,40.41,58.00,HF,HF,72
PISTON & RINGS STD (COMPACT),HF-HF-PISTON-RINGS-STD-COMPACT,HF-HF-PISTON-RINGS-STD-COMPACT,40.41,58.00,HF,HF,73
FLANGE WHEEL SIDE,AY141202,AY141202,17.34,25.00,LOCAL,AY141202,74
FLANGE S.G. HSG. WITH OIL SEAL,36AA4114,36AA4114,19.19,27.50,LOCAL,36AA4114,75
FLANGE DIFF. GEAR WITH OIL SEAL,36AA4115,36AA4115,19.19,27.50,LOCAL,36AA4115,76
SEAL OIL MAG SIDE (22X35X7) 2 PCS PACKING,AP101268,AP101268,2.02,2.90,LOCAL,AP101268,77
SEAL OIL (35X50X8/12),BF551613,BF551613,1.52,2.20,LOCAL,BF551613,78
SEAL OIL (35X47X7),22171007,22171007,1.18,1.70,LOCAL,22171007,79
GEAR CABL2524 COM 4S,AA191093-LOCAL-GEAR-CABL2524-COM-4S,AA191093-LOCAL-GEAR-CABL2524-COM-4S,13.13,19.00,LOCAL,AA191093,80
GEAR CABL2520 COM 4S,AA191094-LOCAL-GEAR-CABL2520-COM-4S,AA191094-LOCAL-GEAR-CABL2520-COM-4S,13.13,19.00,LOCAL,AA191094,81
CABLE ACCELERATOR,AA191139,AA191139,9.09,13.00,LOCAL,AA191139,82
CABLE CLUTCH,AA191092,AA191092,15.15,21.70,LOCAL,AA191092,83
SPEEDO METER CABLE,AA191102,AA191102,14.53,21.20,LOCAL,AA191102,84
CAP SPARK PLUG LH SOLID POST,AF111031,AF111031,3.03,4.50,LOCAL,AF111031,85
CAP SPARK PLUG RH SOLID POST,AF111032,AF111032,3.37,4.60,LOCAL,AF111032,86
ASSLY AXLE FRONT WHEEL (COMPACT),24151266,24151266,20.20,29.00,LOCAL,24151266,87
AXLE ASSLY REAR WHEE (COMPACT),24171118-LOCAL-AXLE-ASSLY-REAR-WHEE-COMPACT,24171118-LOCAL-AXLE-ASSLY-REAR-WHEE-COMPACT,28.62,40.00,LOCAL,24171118,88
SLEEVE SPARK PLUG,AZ511010,AZ511010,4.21,6.00,LOCAL,AZ511010,89
HUB FRONT,AA151084,AA151084,90.91,130.00,LOCAL,AA151084,90
CAP STRAINER,JV541006,JV541006,3.20,4.50,LOCAL,JV541006,91
WHEEL RIM 3.00X8,24151285,24151285,58.93,85.00,LOCAL,24151285,92
ASSLY SHAFT PROPELLER WITHOUT PIN,24101829,24101829,16.84,24.00,LOCAL,24101829,93
STICK DIP CLUTCH COVER,AA101667,AA101667,1.68,2.40,LOCAL,AA101667,94
ASSLY STEERING COLUMN,AA171027,AA171027,205.40,293.00,LOCAL,AA171027,95
ISOLATOR (2 NAKKA),AF161281,AF161281,15.15,21.70,LOCAL,AF161281,96
