Product Name,SKU,Category,Cost Price,Selling Price,Stock,Reorder Level,Unit,Active,Description,Barcode
SEAL OIL (35X47X7),22171007,LOCAL,0,0,530,0,pcs,yes,SEAL OIL (35X47X7),22171007
GEAR CABL2524 COM 4S,AA191093-LOCAL-GEAR-CABL2524-COM-4S,LOCAL,0,0,440,0,pcs,yes,GEAR CABL2524 COM 4S,AA191093-LOCAL-GEAR-CABL2524-COM-4S
GEAR CABL2520 COM 4S,AA191094-LOCAL-GEAR-CABL2520-COM-4S,LOCAL,0,0,450,0,pcs,yes,GEAR CABL2520 COM 4S,AA191094-LOCAL-GEAR-CABL2520-COM-4S
CABLE ACCELERATOR,AA191139,LOCAL,0,0,120,0,pcs,yes,CABLE ACCELERATOR,AA191139
CABLE CLUTCH,AA191092,LOCAL,0,0,290,0,pcs,yes,CABLE CLUTCH,AA191092
SPEEDO METER CABLE,AA191102,LOCAL,0,0,80,0,pcs,yes,SPEEDO METER CABLE,AA191102
CAP SPARK PLUG LH SOLID POST,AF111031,LOCAL,0,0,230,0,pcs,yes,CAP SPARK PLUG LH SOLID POST,AF111031
CAP SPARK PLUG RH SOLID POST,AF111032,LOCAL,0,0,231,0,pcs,yes,CAP SPARK PLUG RH SOLID POST,AF111032
ASSLY AXLE FRONT WHEEL (COMPACT),24151266,LOCAL,0,0,311,0,pcs,yes,ASSLY AXLE FRONT WHEEL (COMPACT),24151266
AXLE ASSLY REAR WHEE (COMPACT),24171118-LOCAL-AXLE-ASSLY-REAR-WHEE,LOCAL,0,0,262,0,pcs,yes,AXLE ASSLY REAR WHEE (COMPACT),24171118-LOCAL-AXLE-ASSLY-REAR-WHEE
SLEEVE SPARK PLUG,AZ511010,LOCAL,0,0,110,0,pcs,yes,SLEEVE SPARK PLUG,AZ511010
HUB FRONT,AA151084,LOCAL,0,0,183,0,pcs,yes,HUB FRONT,AA151084
CAP STRAINER,JV541006,LOCAL,0,0,100,0,pcs,yes,CAP STRAINER,JV541006
